"leverancier"	"aantal_kostensoorten"	"totaal_staffel"	"diversity"
"Kade60"	2	2	2
"Kade 87"	2	2	2
"Kafkabrigade"	2	2	2
"Kairos Consultancy"	2	2	2
"Kaizen Institute"	2	2	2
"Kaje Slotenservice"	2	2	2
"Kalbfleisch van der Blom & Fritz"	2	2	2
"Kaldi Koffie & Thee"	2	2	2
"Kaldi Mobiel Utrecht"	2	2	2
"Kaledi"	2	2	2
"Kalisvaart"	2	2	2
"Kalle Advocatuur"	2	2	2
"Kamer van Koophandel"	2	2	2
"KAMI SUSHI"	2	2	2
"Kamminga Geluid& Licht"	2	2	2
"Kampagny Catering Service"	2	2	2
"Kamp Automobielbedrijf"	2	2	2
"Kampen Valve Care BV"	2	2	2
"Kampereiland Vastgoed"	2	2	2
"Kampioensbakker Paul Berntsen"	2	2	2
"KAMPONG HOCKEY ST"	2	2	2
"Kamsteeg Auto Groep"	2	2	2
"Kamsteeg Auto Plaza"	2	2	2
"Kana Benelux"	2	2	2
"Kaneda"	2	2	2
"Kannegieter Electronica"	2	2	2
"Kano & ATB Centrum"	2	2	2
"Kantine"	2	2	2
"KANTINECOMMISSIE KVV LOSSER"	2	2	2
"Kantine Exploitatie H.S.V.-V.U.C."	2	2	2
"Kantine Sport/Kaatshal De Trije"	2	2	2
"Kantoorboekhandel Kortendijk"	2	2	2
"KANTOOR EXPERT"	2	2	2
"Kantoor & Kopie "	2	2	2
"Kantoorvakhandel H. van der Heijde"	2	2	2
"Kapelaan Lochtmanhuis"	2	2	2
"KAPEL C VAN ELECTROTECH BUR"	2	2	2
"Kappers Media"	2	2	2
"Karakter Restaurant"	2	2	2
"Karakter Rondleidingen"	2	2	2
"Karakter.TV"	4	8	2
"KARAOKECONCURRENT.NL"	2	2	2
"KÄRCHER CENTER RHOWAX B.V."	2	2	2
"Karcher Doornenbal"	2	2	2
"Karelgeenen.nl"	2	2	2
"Karin de Lange Bureau"	4	8	2
"Karin Naaijkens"	2	2	2
"Karin Schagen"	2	2	2
"Karin van Dierendonck"	2	2	2
"Karin Wigger Deurwaarderskantoor"	2	2	2
"Karlien van Leeuwen"	2	2	2
"Karolien Bais"	2	2	2
"Karssen Office"	2	2	2
"Kart- en Laserworld Limmen B.V."	2	2	2
"Karwansaray B.V."	2	2	2
"Karwei"	2	2	2
"Kas Feestkleding"	2	2	2
"Kasias Photo Art"	2	2	2
"Kaspers Projecten B.V."	2	2	2
"Kasteel Coevorden"	2	2	2
"Kasteel de Haar"	2	2	2
"KASTEEL EYCKHOLT ROOSTEREN"	2	2	2
"Kasteelfeesten.nl"	2	2	2
"Kasteel Huize Harmelen"	2	2	2
"Kasteel Limbricht Partycentrum"	2	2	2
"Kasteel Metaal"	2	2	2
"Kasteel Rhederoord"	2	2	2
"Kasteel Ter Worm"	2	2	2
"Kasteeltje Hattem Restaurant"	2	2	2
"Kasual Food & Drinks B.V."	2	2	2
"Katharos"	2	2	2
"Katholieke Basisschool De Windroos"	2	2	2
"Katholieke Vereniging voor EHBO"	2	2	2
"Katholiek Nieuwsblad"	2	2	2
"Katina Paul Opl Ambtenarenrecht"	2	2	2
"Katja van der Elst"	2	2	2
"K.A.T./Kunst, Advies en Techniek"	2	2	2
"Katseveer Restaurant"	2	2	2
"Kattenberg Verhuizingen"	2	2	2
"Kavegas"	2	2	2
"Kayseri Holding B.V."	2	2	2
"KB Kees Braat Klusbedrijf"	2	2	2
"KBKP Korenhof & Partners"	2	2	2
"KCE B.V."	2	2	2
"KCI Medical"	2	2	2
"K. de Graaff"	2	2	2
"K-dive"	2	2	2
"KDM 2"	2	2	2
"KD Telematica"	2	2	2
"keep-in-touch, training, coaching en advies"	2	2	2
"Keers Mijdrecht"	2	2	2
"Kees Groot Horeca"	2	2	2
"Kees Internetbureau"	2	2	2
"Kees Knaap Zeefdruk"	2	2	2
"Kees Niekerk Montage en Klussenbedrij"	2	2	2
"Keesom & Hendriks"	2	2	2
"KEES SCHRIJVER SLAGERIJ"	2	2	2
"Kees Tak Bloemist"	2	2	2
"Kees van Kooten"	2	2	2
"Kees VOF"	2	2	2
"k-eet"	2	2	2
"Keet F.G.M."	2	2	2
"Kefee D'n Hertog van Gelder"	2	2	2
"K.E.F. Vergoossen"	2	2	2
"Kegama B.V."	2	2	2
"Keijser van der Velden Nv"	2	2	2
"Keijzer Schildersbedrijf"	2	2	2
"Keijzer & Van Santen Natuurslagerij"	2	2	2
"Keiretsu Europe"	2	2	2
"Keizersrande Stg"	2	2	2
"Keizer & van Straten BV."	2	2	2
"Kellertax"	2	2	2
"Kemeling Taaltraining & Tekstadvies"	2	2	2
"Kemkers, de echte Groenteman"	2	2	2
"Kempenhaeghe"	2	2	2
"Kempen Media B.V."	2	2	2
"Kennedy van der Laan Advocatuur"	4	8	2
"Kennelbouw Zeeland"	2	2	2
"Kennemer Gasthuis"	2	2	2
"KENNEMER PRAKTIJK"	2	2	2
"Kenniscentrum Arbeid & Longaandoeningen"	2	2	2
"Kennis & Co"	2	2	2
"Kenniscocreatie, onderzoek & advies"	2	2	2
"Kennisinstituut Spelia"	2	2	2
"Kennispraktijk"	2	2	2
"Kentekenplaatonline.nl"	2	2	2
"Keplar Agency B.V."	2	2	2
"Keralan"	2	2	2
"Keramikos"	2	2	2
"Kerger & Co"	2	2	2
"Kerkebosch 'T Hotel-Restaurant"	2	2	2
"Kerkgenootschap"	2	2	2
"KERKRADE/HEERLEN PSYCHOLOGENPRAKTIJ"	2	2	2
"Kerkvoogdij Hervormde Gemeente Aduard-Den Ham-Fransum"	2	2	2
"Kern Gezond V.O.F."	2	2	2
"KernGroen B.V."	2	2	2
"Kernpraktijk Fysiogroep Zaandam"	2	2	2
"Kersbergen Party Service"	2	2	2
"KERS J.W. vof."	2	2	2
"Kers & Partners"	2	2	2
"Kerstboom.nl (Royal M Decorations)"	2	2	2
"Kerst Company B.V."	2	2	2
"Kerstens, Drs. J.A.M."	2	2	2
"Kerst in stijl"	2	2	2
"Kesco"	2	2	2
"KESPA"	2	2	2
"Kesselaar & Zn. BV"	2	2	2
"KESSELS EN VAN KEEKEN"	2	2	2
"Kesselskramer"	2	2	2
"Ketelaar hifi"	2	2	2
"Ketelbinkiekoffie"	2	2	2
"Ketelhuis Restaurant Eindhoven"	2	2	2
"Kets design"	2	2	2
"Keuken & Deli Restaurant"	2	2	2
"Keukenstudio Beelen"	2	2	2
"Keukenstudio Stenenbrug"	2	2	2
"Keuken van Hackfort"	2	2	2
"Keurdokter B.V."	2	2	2
"Keurhorst"	2	2	2
"KeurigConcepts"	2	2	2
"Keurslager Groeneveld B.V."	2	2	2
"Keurslagerij Ben kamphuis"	2	2	2
"Keurslagerij De Jong"	2	2	2
"Keurslagerij Maas"	2	2	2
"KEURSLAGERIJ POLDERVAART"	2	2	2
"Kevelam Ambachtelijke Slagerij"	2	2	2
"Kever Cabrio Rally Groene Hart"	2	2	2
"KeyDocs BV"	2	2	2
"Keymax Nederland"	2	2	2
"Keyner Projectadvies "	2	2	2
"Keyzer Palace Rosmalen"	2	2	2
"K.G. Business Support"	2	2	2
"KGH Douaneopleidingen Nederland"	2	2	2
"KG & Rolf"	2	2	2
"K&G Service"	2	2	2
"KH Engineering"	2	2	2
"KH Legal Advice"	2	2	2
"Khonraad Software Engineering"	2	2	2
"Kia Ora Bed & Breakfast"	2	2	2
"Kick Automatisering"	2	2	2
"Kiddy-express"	2	2	2
"Kidney"	2	2	2
"Kiekebos & Bakker klimaattechniek"	4	8	2
"Kiekens Herding"	2	2	2
"KIEK IN DE POT"	2	2	2
"kiEMT kennis en innovatie in Energie- en MilieuTechnologie"	2	2	2
"Kies! Coaching"	2	2	2
"Kievit B.V."	2	2	2
"KIEVITSDEL TEPPAN YAKI JAPANS REST"	2	2	2
"Kievits Veerdiensten"	2	2	2
"Kiki Decoration"	2	2	2
"Kiko Software"	2	2	2
"Kila Taaltraining"	2	2	2
"Kilsdonk"	2	2	2
"KIMPACT"	2	2	2
"Kim Roelofs Mediation en Juridisch advies"	2	2	2
"Kinderdagverlijf & Bso 'T Herdertje"	2	2	2
"Kindermediar BV"	2	2	2
"Kinderspel"	2	2	2
"Kind- & Jongerenpraktijk Go! V.O.F."	2	2	2
"Kinds"	2	2	2
"Kinesis"	2	2	2
"KINGA WOK"	2	2	2
"King nascholing"	2	2	2
"Kingsquare B.V."	2	2	2
"KING WOK"	2	2	2
"King Wullur Consult"	2	2	2
"Kinket Seal"	2	2	2
"Kinsley Europe"	2	2	2
"Kinterview"	2	2	2
"KINT VER NED VER VOOR KWALITEITSTOE"	2	2	2
"Kip Beveiligingstechniek"	2	2	2
"Kip Culinair"	2	2	2
"Kipp en Zonen"	2	2	2
"Kirsten van den Hul Change Agent"	2	2	2
"Kistler"	2	2	2
"Kitchen & Bar Van Rijn B.V."	2	2	2
"KIT TECHNIQUE NEDERLAND"	2	2	2
"Kitty's Heksenketel"	2	2	2
"Kitvoegen.nl"	2	2	2
"Kivitra Party Verzorging"	2	2	2
"Kiwanis Club Noviomagus"	2	2	2
"Kjell Postema Fotografie"	2	2	2
"Kjenning Opleiding"	2	2	2
"K.J.J. Waldeck"	2	2	2
"K.K. van Eggermond-Krupa Tolk-Vert"	2	2	2
"Klaas Brant Consulting & Education"	2	2	2
"Klaas-Jelmer Sixma"	2	2	2
"Klaas Koster"	2	2	2
"Klaassen Bouwmaatschappij Arnhem B.V."	2	2	2
"Klaassen Kweens Advocaten B.V."	2	2	2
"KLABBERS GERT"	2	2	2
"Klap Des Bouvrie en Bredius"	2	2	2
"Klasse Onderwijs & Opvoeding"	2	2	2
"KLAVER INFRATECHNIEK B.V."	2	2	2
"Klaver Klimaattechniek"	4	8	2
"Klaver Tweewielers"	2	2	2
"Kleefse Waard Brandweertrainingscentrum"	4	8	2
"Klein Beernink"	2	2	2
"Kleine Spui"	2	2	2
"Kleine Wensen"	2	2	2
"Klein Foto"	2	2	2
"Klein Haksfoort"	2	2	2
"Kleintje Pils"	2	2	2
"Klein Units B.V."	2	2	2
"Klein Zwitserland Hoveniersbedrijf"	2	2	2
"Klerks-Meijer Holding BV."	2	2	2
"Kleverwal Schilderwerken"	2	2	2
"Klikmaxx BV"	2	2	2
"Klimaatservice Holland"	2	2	2
"Klimcentrum Neoliet"	2	2	2
"Klimmuur Hollands Spoor"	2	2	2
"Klinger"	2	2	2
"Klinipath"	2	2	2
"Klinisch Bedrijfspsycholoog Leiden"	2	2	2
"Klinkende Taal B.V."	2	2	2
"Klinkhamer Conference Management"	2	2	2
"Klinkhamer Reclame"	2	2	2
"KLINK HYDROBIOLOGISCH ADVIESBUR"	2	2	2
"Klint Holding"	2	2	2
"Kloeg"	2	2	2
"Klok De"	2	2	2
"Klompé & RUPP"	2	2	2
"KlompHSM"	2	2	2
"Kloosterboer Decor"	4	8	2
"Klooster 'Sint Josephsberg'"	2	2	2
"Klooster Ter Apel"	2	2	2
"Kluisspecialist"	2	2	2
"Klumpenaar, A.J."	2	2	2
"Klupp sportswear"	2	2	2
"Klussenbedrijf J.W. van Laar"	2	2	2
"Klussenbedrijf Michel van Dijk"	2	2	2
"Klussenbedrijf Seyit"	2	2	2
"K.M.C de Paepe training en advies"	2	2	2
"KMO Software"	2	2	2
"KNGGW Koninklijk Nederlandsch Genootschap voor Geslacht- en Wapenkunde"	2	2	2
"Kniest"	2	2	2
"KNIPOOG P.V."	2	2	2
"Knocom"	2	2	2
"Knoc Trainingen"	2	2	2
"Knoef IJzerhandel"	2	2	2
"Knol's Koek"	2	2	2
"Knoope Ideaal Coaching"	2	2	2
"Knoppert Training & Coaching"	2	2	2
"KNOWGISTICS HOLDING"	4	8	2
"Knowh2O"	2	2	2
"Knowit B.V."	2	2	2
"Knowledge Concepts"	2	2	2
"Knowledge For Business Innovation"	2	2	2
"Knowmads"	2	2	2
"KN SINGLES & TWINS"	2	2	2
"Knus"	2	2	2
"Knuvers Schoen- & Voetcentrum"	2	2	2
"KNVB"	2	2	2
"KNWV Koninklijk Nederlands Watersport Verbond"	2	2	2
"Kochstudios"	2	2	2
"Kock Management en Beheer B.V."	2	2	2
"Koda Woningbeheer"	2	2	2
"Kodi"	2	2	2
"koekepeer Producties"	2	2	2
"Koekman Militaria & Uniformverhuur."	2	2	2
"Koelairco"	2	2	2
"Koelewijn Media.nl"	2	2	2
"Koenders Instruments"	2	2	2
"Koerhuis Kersten"	2	2	2
"KoerierCompany"	2	2	2
"Koeriersdienst Zwolle"	2	2	2
"Koersz"	2	2	2
"Koets"	2	2	2
"Koeweiden Postma"	2	2	2
"Koffiecentrale"	2	2	2
"Koffie en Zo"	2	2	2
"KoffieSnel.nl"	2	2	2
"Koggevaarder"	2	2	2
"Kohler Peutz Geveltechniek"	6	18	2
"Kok Bloemenservice"	2	2	2
"Koko"	2	2	2
"Kokreateur B.V."	2	2	2
"KOK TIMMER THODN BRUNTE DE"	2	2	2
"Kok Tuinmachines"	2	2	2
"Kok Verhoeven Restaurant"	2	2	2
"Kolmans en van Dinten Advocaten"	2	2	2
"Kolpinghuis Nijmegen"	2	2	2
"Kolthof Bouwbedrijf"	2	2	2
"Komplot"	2	2	2
"Kon. Algemeene Vereeniging voor Bloembollencultuur"	2	2	2
"Konichiwa B.V."	2	2	2
"Konijnenburg Tuin- en bloemencentru"	2	2	2
"Koning & de Raadt Incassobureau"	2	2	2
"Koning Vul & Service B.V."	2	2	2
"Koninklijke Brill"	2	2	2
"Koninklijke Drukkerij Broese & Peereboom"	2	2	2
"Koninklijke Eijsbouts Klokkengieterij en Fabriek van Torenuurwerken"	2	2	2
"Koninklijke Maatschap De Wilhelminapolder"	2	2	2
"Koninklijke Nederlandse Centrale"	2	2	2
"Koninklijke Nederlandse Gymnastiek"	2	2	2
"Koninklijke Nederlandse Munt"	2	2	2
"Koninklijke Nederlandse Politiehond"	2	2	2
"Koninklijke Nederlandse Vereniging Eerste Hulp Bij Ongelukken"	2	2	2
"Koninklijke Nederlandse Vereniging voor Internationaal Recht"	2	2	2
"Koninklijke Nederl. Ver. voor Microbiologie"	2	2	2
"Koninklijke Roeiers Vereeniging Eendracht"	2	2	2
"Koninklijke Schippersvereniging"	2	2	2
"Koninklijke Vereniging Het Comité van Graanhandelaren"	2	2	2
"Konnichi Wa Japans Restaurant"	2	2	2
"Konstantin Iliev"	2	2	2
"Konstruktiebedrijf Rexwinkel B.V."	2	2	2
"Kon.Ver.v.handelaren in oude kunst"	2	2	2
"Kooijman Lambert Notarissen"	2	2	2
"Kooiker Installatie BV"	2	2	2
"Kooi Management & Advies"	2	2	2
"Kooistra Kledinghuis Wolvega"	2	2	2
"Kookatelier De Kleyne Sint Jacob"	2	2	2
"Kookclub Bodega"	2	2	2
"Kook en Proefstudio den Haag"	2	2	2
"Kookers.nl"	2	2	2
"Kookeshi"	2	2	2
"Kookschool Castricum"	2	2	2
"Kook Studio 10 Spices"	2	2	2
"Kookstudio 25 Rotterdam"	2	2	2
"Kookstudio Amsterdam"	2	2	2
"Kookstudio Haarlem"	2	2	2
"Kookstudio Valkenburg"	2	2	2
"Kookworkshop.Com"	2	2	2
"Koopmans en Zwart Elektrotechniek"	2	2	2
"Koops Verhuizingen"	2	2	2
"Koos Rood Witgoed"	2	2	2
"Koos Sikkens AGF Paterswolde"	2	2	2
"KOOYMAN GROOTVERBRUIK"	2	2	2
"Kopak B.V."	2	2	2
"KOP J B VAN DE BANKETBAKKERIJ"	2	2	2
"Kop & Partners"	2	2	2
"Koppeltron"	2	2	2
"Koppen Speelgoed"	2	2	2
"Koppers Trading"	2	2	2
"Koppert"	2	2	2
"Korderijnk Brasserie-Restaurant"	2	2	2
"Kornwerderzand Stg"	2	2	2
"Korrekt Bouw B.V."	2	2	2
"KORRIE BESEMS / FOTOWERKEN"	2	2	2
"Korst van der Hoeff veilingen"	2	2	2
"Kortekaas Cleaning Equipment B.V."	2	2	2
"Korzo"	2	2	2
"Kos Consult"	2	2	2
"Kose van Immerseel Advocaten"	2	2	2
"Koskamp Security"	2	2	2
"Koster Advocaten"	2	2	2
"Koster Elektromotoren"	2	2	2
"Kottman & Co"	2	2	2
"Koudasfalt Van den Broek Heteren"	2	2	2
"Kouratovsky Training, Advies en Consultatie"	2	2	2
"Kouwenhoven Consultancy"	2	2	2
"Kovax Europe B.V."	2	2	2
"KPE Holding"	2	2	2
"KRAANTJE LEK"	2	2	2
"Kraanverhuur D. Boekestijn B.V."	2	2	2
"Kracht in Nederland"	4	8	2
"KRACHTVANBELEVING.NL"	2	2	2
"Kraft Adviseurs B.V."	2	2	2
"Kramer Henk Comm"	2	2	2
"Krammer Software"	2	2	2
"Kranenburg Gevelonderhoudsinstallaties"	2	2	2
"Kranendonk Experience Company BV"	2	2	2
"Kranendonk Financieel Adviesbureau"	2	2	2
"Krant En Klaar"	2	2	2
"KRAS2"	2	2	2
"Krasevents Organisatie & Advies"	2	2	2
"Kras Touringcars"	2	2	2
"Krayenhoff Bloemsierkunst"	2	2	2
"Kredietbank Nederland"	2	2	2
"Kreeft Opleidingen"	2	2	2
"Kreijenbroek Holding BV"	2	2	2
"Kremer Communicatie"	2	2	2
"Kreta Grieks Restaurant"	2	2	2
"Kriegsmanbeheer B.V."	2	2	2
"Krijnen Medical Innovations B.V."	2	2	2
"Krijnverboom"	2	2	2
"Kring Andragologie"	2	2	2
"KRING V. VEILIGHEIDSFUNCTIONARISSEN"	2	2	2
"Kristie van Noort"	2	2	2
"Kroes Tekstbureau"	2	2	2
"Kroezen Sytsema Artistique"	2	2	2
"Kromkamp Management"	2	2	2
"Kronenburggroup"	2	2	2
"Kroonenberg Coaching"	2	2	2
"KROONE VIVIANNE"	2	2	2
"Kroon Leveranciers"	2	2	2
"Kropff en Zn"	2	2	2
"Krudop Conservering en Restauratie"	2	2	2
"Kruisherenhotel Maastricht"	2	2	2
"Kruithof Medisch Adviesbureau"	2	2	2
"Krull Advies"	2	2	2
"KSF Kajsa Strömberg"	2	2	2
"KSV De Betuwe"	2	2	2
"KTK Service"	2	2	2
"KT-Vision Holding B.V."	2	2	2
"KTV Kennisnet voor Taal en Vakopleiding"	2	2	2
"Kubik B.V."	2	2	2
"Kubus Montagediensten Amsterdam"	2	2	2
"Kubus Totaal"	2	2	2
"Kuijpers & Nillesen Advocaten"	2	2	2
"Kuip De congres & evenementencentra"	2	2	2
"Kuiper Bouwgroep"	6	18	2
"Kuiper de internationale verhuizer"	2	2	2
"Kuipers Gassen Eemnes V.O.F."	2	2	2
"Kuipers tekst en training"	2	2	2
"Kuipers & van Kempen"	2	2	2
"Kultuur Koerier"	2	2	2
"Kumo Gas Industriële Gassen"	2	2	2
"Kundig in Kunst"	2	2	2
"Kunsthuis Alkmaar B.V."	2	2	2
"KUNSTKIJKEN"	2	2	2
"Kunst VOF"	2	2	2
"Kunst & Zo"	2	2	2
"Kuraray Dental Benelux B.V."	2	2	2
"Kurstjens Ecologisch Adviesbureau"	2	2	2
"Kusters Engineering"	2	2	2
"KUSTLIJN HORECA B.V."	2	2	2
"Kuyper Catering"	2	2	2
"KVLO Koninklijke Vereniging van Leraren Lichamelijke Opvoeding"	2	2	2
"KVVM"	2	2	2
"Kwadraat Technische Advisering"	2	2	2
"Kwaliteitskring Regio Zwolle"	2	2	2
"Kwaliteitskring Zuid Holland"	2	2	2
"Kwaliteitsslagerij Van Loo"	2	2	2
"Kwartiermeesters"	2	2	2
"Kwast- en Verfkunst"	2	2	2
"Kwekerij"	2	2	2
"Kwekerij Peter Wolfkamp"	2	2	2
"Kwekkeboom Konditorei"	2	2	2
"KWF Kankerbestrijding"	2	2	2
"Kwiek Klien"	2	2	2
"Kwiezien"	2	2	2
"K. Wijma"	2	2	2
"Kwint"	2	2	2
"Kyoto b.v."	2	2	2
"Laagland"	2	2	2
"LabBio Technology"	2	2	2
"Labeldiscounter.com B.V."	2	2	2
"La Bergere"	2	2	2
"La Bontà"	2	2	2
"Laboral Diagnostics"	2	2	2
"Laboratory Services International bv"	2	2	2
"Labrie Verfspeciaalzaak"	2	2	2
"La Brochette"	2	2	2
"La Casserole"	2	2	2
"La Cazuela"	2	2	2
"Lachende Vis"	2	2	2
"Laco Sportcentrum"	2	2	2
"La Couronne (De Fazanterie)"	2	2	2
"La Couronne du Comte"	2	2	2
"Laco Utrechtse Heuvelrug B.V."	2	2	2
"La Cucina Italiana"	2	2	2
"Ladies Circle De Friese Wouden"	2	2	2
"L.A.-DJ's"	2	2	2
"La Dolce Vita Services"	2	2	2
"La Favola Catering B.V."	2	2	2
"La Fuente"	2	2	2
"Lagaay Int"	2	2	2
"La Galleria Boulevard"	2	2	2
"Lagarde Netwerken, Telecommunicatie, ICT & Beveiliging"	2	2	2
"Lagendijk Sportprijzen"	2	2	2
"Lago Coaching"	2	2	2
"Lahek B.V."	2	2	2
"Lahr Marianne"	2	2	2
"Laila Ontwerpt"	2	2	2
"Lai Wing BV"	2	2	2
"Lakloppa Sportswear"	2	2	2
"Lakmoes Studio"	2	2	2
"Lakwijk Kunststoffen"	2	2	2
"Lambert & Company BV"	2	2	2
"Lamboo Repair"	2	2	2
"Lameijer-Exon"	2	2	2
"Lameriskoffijberg"	2	2	2
"LAMERS FIRMA"	2	2	2
"Lamers High Tech Systems B.V."	2	2	2
"Lammers Geluid Service"	2	2	2
"Lamon Glas"	2	2	2
"Lampedirect"	2	2	2
"Lampe Technical Textiles"	2	2	2
"Lamplord"	2	2	2
"L' Amuse Culinair"	2	2	2
"Lanasta"	2	2	2
"Lanclan"	2	2	2
"Landbouwbedrijf ''t Hof Welgelegen'"	2	2	2
"Landbouwmechanisatiebedrijf Holland"	2	2	2
"Landelijke Huisartsen Vereniging"	2	2	2
"Landelijke vereniging van Artsen in"	2	2	2
"Landelijk Expertisecentrum Sociale"	2	2	2
"LANDGOED BIEDUINEN"	2	2	2
"Landgoed de Biestheuvel"	2	2	2
"Landgoed De Klinze"	2	2	2
"Landgoed Ekenstein"	2	2	2
"Landgoed Groenendaal"	2	2	2
"Landgoed Groenhoven"	2	2	2
"Landgoed Het Spelderholt"	2	2	2
"Landgoed Lemferdinge"	2	2	2
"Landhoeve Rijkel"	2	2	2
"Landhuis de Oliphant"	2	2	2
"Landkaartje"	2	2	2
"Landré Euromach"	2	2	2
"Landschapsbeheer Rinnegom"	2	2	2
"Landskroon Event Industry"	2	2	2
"Landuwasco"	2	2	2
"Land van Kokanje Restaurant"	2	2	2
"Landwinkel Schurenhof"	2	2	2
"Langedijk Consult"	2	2	2
"Langeland-Borgman"	2	2	2
"Langemaat Ontwikkeling & Techniek"	2	2	2
"Langenhuijsen Catering"	2	2	2
"Langenhuizen Glasservice"	2	2	2
"Langens Mediation"	2	2	2
"Langerhans School of Diabetes"	2	2	2
"Langman Touwfabriek"	2	2	2
"LANGUAGE TRAINING SOLUTIONS"	2	2	2
"Lankhorst Recycling Products"	2	2	2
"Lankveld Persfotografie"	2	2	2
"Lanni's Communications"	2	2	2
"Lannoo Uitgeverij"	2	2	2
"La Nouveau Maison"	2	2	2
"Lansto BV"	2	2	2
"Lansuplant Mouton"	2	2	2
"LANS V D AUTO'S"	2	2	2
"Lantaren Venster"	2	2	2
"Lanting Consult"	2	2	2
"La Parrillada"	2	2	2
"LAPIDAIR TEKSTEN"	2	2	2
"Laprocon"	2	2	2
"La Provence Restaurant"	2	2	2
"Lapsang"	2	2	2
"Laptopsverhuur B.V."	2	2	2
"Lara Frank Managementadvies"	2	2	2
"La Residence"	2	2	2
"Laromme B.V."	2	2	2
"Larson Juhl"	2	2	2
"LA SALUTE DELICATEZZE"	2	2	2
"Lasbedrijf P. Volmer BV"	2	2	2
"La Scala Restaurant"	2	2	2
"Laska computers en datacommunicatie"	2	2	2
"La Sonnerie Hotel"	2	2	2
"Lassche & de Bruijn"	2	2	2
"Lassche en Keizer"	2	2	2
"Lassche & van Zutphen"	2	2	2
"Lastek Beheer B.V."	2	2	2
"La Stella Marina"	2	2	2
"Latin Harvest"	2	2	2
"Latour Advies"	2	2	2
"Latte's and Literature"	2	2	2
"Latynse School Stichting"	2	2	2
"Laumen Rolluiken-Zonwering"	2	2	2
"Laurens Meyer Horeca Exploitatie (L.M.H.E.) Breda B.V."	2	2	2
"Laurentius Ziekenhuis Roermond"	2	2	2
"Lautenbag Reclame"	2	2	2
"LAUTENSCHUTZ"	2	2	2
"Lava Coaching"	2	2	2
"L.A. van Amstel"	2	2	2
"Lavastica International"	2	2	2
"Lavendel Restaurant"	2	2	2
"L'Avenir"	2	2	2
"LAVG - Landelijke Associatie van Gerechtsdeurwaarders"	2	2	2
"La Vie Jolie"	2	2	2
"La Vita Sana voedingsadviesbureau"	2	2	2
"Lawach"	2	2	2
"Lawrence Wellingham Group B.V."	2	2	2
"Lawton Advocaten"	2	2	2
"LBP Lichtveld Buis & Partners"	4	8	2
"L.C.A. Verstappen"	2	2	2
"LCC"	2	2	2
"L.C. Mulder"	2	2	2
"LCR - Les Couvreurs Reunis"	2	2	2
"LCR Systems B.V."	2	2	2
"L.C. Schavemaker"	2	2	2
"LCS Systems"	2	2	2
"LC Traffic"	2	2	2
"LDP International BV"	2	2	2
"L. Driessen"	2	2	2
"Learncare Academy"	2	2	2
"Learnworks"	2	2	2
"Leaufort"	2	2	2
"Le Baron Restaurant"	2	2	2
"Le Bateau Restaurant"	2	2	2
"Le Bibelot Restaurant"	2	2	2
"Le Bon Ton"	2	2	2
"Le Champion"	2	2	2
"Lederluxe.nl"	2	2	2
"Lederonline"	2	2	2
"LED-Gigant.nl"	2	2	2
"LedGo B.V."	2	2	2
"Ledo Building Service"	2	2	2
"LEEF-STADIUM"	2	2	2
"Leegwater Scheepsbevoorrading"	2	2	2
"Leemans Uitvaartverzorging"	2	2	2
"Leendeman Beheer B.V."	2	2	2
"Leering Hengelo"	2	2	2
"Leerwerk Arbeidsadviezen"	2	2	2
"LEERZEM VAN WIJNKOPERIJ"	2	2	2
"Leeuwbouw"	2	2	2
"Leeuwenberg adviesbureau"	2	2	2
"Leeuwenbrug Hotel"	2	2	2
"Leeuwenhorst Congrescentrum"	4	8	2
"Lefay Magic"	2	2	2
"Lefconsult"	2	2	2
"Lefeffect"	2	2	2
"Le Figaro"	2	2	2
"LEF Marketing & Events B.V."	2	2	2
"LEGISTA"	2	2	2
"Leidje Witte"	2	2	2
"Leidse Lente"	2	2	2
"LEIDSE REGIO TAXI"	2	2	2
"Leienplein 5-9 B.V."	2	2	2
"Leijenberghlaan Amsterdam"	2	2	2
"LEIJEN K OLIEPRODUKTEN"	2	2	2
"Leijser Fruit"	2	2	2
"Leijten Catering"	2	2	2
"Leisure and City Projects"	2	2	2
"Lek Bloemenservice"	2	2	2
"Lekker bootje varen.nl"	2	2	2
"Lekker in Roosendaal"	2	2	2
"Lekkrr"	2	2	2
"LELYSTAD '67 SV"	2	2	2
"Lelystad Airport"	2	2	2
"Lemans"	2	2	2
"Le Mariage & The Bounge"	2	2	2
"Lemmens Tuintechnisch Bureau"	2	2	2
"Lemmy's Biercafé"	2	2	2
"Lenarduzzi Natuursteen B.V."	2	2	2
"Leni Minderhoud"	2	2	2
"Len Munnik Illustrator"	2	2	2
"Lensen Projectinrichters"	2	2	2
"Lente Van IJsselmuiden"	2	2	2
"Lenthe Publishers & Consultants"	2	2	2
"Lentis Maatschappelijke Onderneming"	4	8	2
"Leo Agressie Management"	2	2	2
"Leo Hermans"	2	2	2
"Leo Music & Audio"	2	2	2
"Leonard de Mol van Otterloo"	2	2	2
"Leonardus Hospice"	2	2	2
"Léon Patisserie"	2	2	2
"Leontien Total Sports"	2	2	2
"Leon Wilbrink Brood- en Banketbakkerij"	2	2	2
"Leoprinting"	2	2	2
"Leo Van Devavidhya"	2	2	2
"Leo van de Wouw Regisseur/Programmamaker"	4	8	2
"Le Petit"	2	2	2
